iterm,facet,domain,subject,lword
promoter,phenomenon_role,Stakeholder Management,sociology,promoter
property owner,phenomenon_role,Stakeholder Management,sociology,property owner
protest movement,concept,Stakeholder Management,communities and social development,protest movement
public client,phenomenon_role,Stakeholder Management,sociology,public client
public consultation,phenomenon_process,Stakeholder Management,communities and social development,public consultation
public engagement,phenomenon_process,Stakeholder Management,participation process,public engagement
public owner,phenomenon_role,Stakeholder Management,sociology,public owner
public participation,phenomenon_process,Stakeholder Management,participation process,public participation
public relation,concept,Stakeholder Management,participation process,public relation
public-sector client,phenomenon_role,Stakeholder Management,sociology,public-sector client
pupil,phenomenon_role,Stakeholder Management,sociology,pupil
purchaser,phenomenon_role,Stakeholder Management,sociology,purchaser
rail strategic alliance,concept,Stakeholder Management,partnership management,rail strategic alliance
Red Cross,phenomenon_object,Stakeholder Management,communities and social development,Red Cross
regeneration partnership,concept,Stakeholder Management,partnership management,regeneration partnership
regulator,phenomenon_role,Stakeholder Management,sociology,regulator
remote community,concept,Stakeholder Management,communities and social development,remote community
residential client,phenomenon_role,Stakeholder Management,sociology,residential client
resilient community,concept,Stakeholder Management,communities and social development,resilient community
resolution,phenomenon_process,Stakeholder Management,conflict resolution,resolution
secondary school counselor,phenomenon_role,Stakeholder Management,sociology,secondary school counselor
secondary school student,phenomenon_role,Stakeholder Management,sociology,secondary school student
sharing arrangement,concept,Stakeholder Management,partnership management,sharing arrangement
social customer relationship management,phenomenon_process,Stakeholder Management,participation process,social customer relationship management
social innovation,concept,Stakeholder Management,communities and social development,social innovation
social license,theoretical_framing,Stakeholder Management,communities and social development,social license
social process,concept,Stakeholder Management,communities and social development,social process
social progress,concept,Stakeholder Management,communities and social development,social progress
social recovery,concept,Stakeholder Management,communities and social development,social recovery
social sustainability,concept,Stakeholder Management,communities and social development,social sustainability
social sustainability initiative,concept,Stakeholder Management,communities and social development,social sustainability initiative
society,concept,Stakeholder Management,communities and social development,society
socio-ecological resilience,concept,Stakeholder Management,communities and social development,socio-ecological resilience
staff participation,concept,Stakeholder Management,leadership,staff participation
stakeholder analysis,phenomenon_process,Stakeholder Management,participation process,stakeholder analysis
stakeholder competency,concept,Stakeholder Management,management,stakeholder competency
stakeholder conflict,concept,Stakeholder Management,participation process,stakeholder conflict
stakeholder engagement,phenomenon_process,Stakeholder Management,community and social dimensions,stakeholder engagement
stakeholder engagement strategy,phenomenon_process,Stakeholder Management,participation process,stakeholder engagement strategy
stakeholder identification,phenomenon_process,Stakeholder Management,participation process,stakeholder identification
stakeholder integration,phenomenon_process,Stakeholder Management,participation process,stakeholder integration
stakeholder involvement,phenomenon_process,Stakeholder Management,participation process,stakeholder involvement
stakeholder management,phenomenon_process,Stakeholder Management,participation process,stakeholder management
stakeholder management practice,phenomenon_process,Stakeholder Management,participation process,stakeholder management practice
stakeholder network,phenomenon_object,Stakeholder Management,participation process,stakeholder network
stakeholder participation,phenomenon_process,Stakeholder Management,community and social dimensions,stakeholder participation
stakeholder register,phenomenon_object,Stakeholder Management,participation process,stakeholder register
stakeholder satisfaction,concept,Stakeholder Management,participation process,stakeholder satisfaction
stakeholder value,concept,Stakeholder Management,participation process,stakeholder value
strategic alliance,concept,Stakeholder Management,partnership management,strategic alliance
sustainable community,concept,Stakeholder Management,communities and social development,sustainable community
sustainable community design,concept,Stakeholder Management,communities and social development,sustainable community design
synergy,concept,Stakeholder Management,partnership management,synergy
urban community,concept,Stakeholder Management,community and social dimensions,urban community
urban crime,concept,Stakeholder Management,community and social dimensions,urban crime
urban poor,concept,Stakeholder Management,community and social dimensions,urban poor
user group,phenomenon_object,Stakeholder Management,client relations,user group
user participation,phenomenon_process,Stakeholder Management,participation process,user participation
user preference,concept,Stakeholder Management,client relations,user preference
user resistance,concept,Stakeholder Management,negotiation,user resistance
user satisfaction,concept,Stakeholder Management,client relations,user satisfaction
voice of customer,concept,Stakeholder Management,participation process,voice of customer
vulnerable group,concept,Stakeholder Management,communities and social development,vulnerable group
water user,phenomenon_role,Stakeholder Management,sociology,water user
win-win negotiation,phenomenon_process,Stakeholder Management,conflict resolution,win-win negotiation
workspace,concept,Stakeholder Management,management,workspace
bargaining,phenomenon_process,Supply Chain Management,economics,bargaining
capability and procurement,concept,Supply Chain Management,procurement capability,capability and procurement
closed-loop supply chain,concept,Supply Chain Management,sustainable supply chain,closed-loop supply chain
collaborative supply chain,concept,Supply Chain Management,collaborative supply chain,collaborative supply chain
complex adaptive supply network,concept,Supply Chain Management,supply chain operations,complex adaptive supply network
concrete supply,phenomenon_process,Supply Chain Management,construction logistics,concrete supply
construction logistics,phenomenon_process,Supply Chain Management,construction logistics,construction logistic
construction supply chain,concept,Supply Chain Management,construction logistics,construction supply chain
container terminal,phenomenon_object,Supply Chain Management,transport systems,container terminal
critical supplier management,phenomenon_process,Supply Chain Management,supply chain risk,critical supplier management
demand-side competence,concept,Supply Chain Management,demand management,demand-side competence
demand-side management,concept,Supply Chain Management,demand management,demand-side management
demand-side policy,concept,Supply Chain Management,demand management,demand-side policy
distribution network,phenomenon_object,Supply Chain Management,supply chain operations,distribution network
equipment selection,concept,Supply Chain Management,procurement capability,equipment selection
green supply chain management,phenomenon_process,Supply Chain Management,sustainable supply chain,green supply chain management
holdup,concept,Supply Chain Management,economics,holdup
integrated logistics capability,concept,Supply Chain Management,supply chain operations,integrated logistics capability
inventory,phenomenon_object,Supply Chain Management,inventory management,inventory
just-in-time,concept,Supply Chain Management,lean logistics,just-in-time
labour force,concept,Supply Chain Management,economics,labour force
labour market,concept,Supply Chain Management,economics,labour market
labour relation,concept,Supply Chain Management,economics,labour relation
labour shortage,concept,Supply Chain Management,economics,labour shortage
labour supply model,concept,Supply Chain Management,economics,labour supply model
lean logistics,phenomenon_process,Supply Chain Management,lean logistics,lean logistics
logistics management,phenomenon_process,Supply Chain Management,supply chain operations,logistics management
logistics planning,phenomenon_process,Supply Chain Management,logistics planning,logistics planning
material handling,phenomenon_process,Supply Chain Management,product delivery,material handling
off-site construction productivity,phenomenon_process,Supply Chain Management,operations management,off-site construction productivity
product delivery,concept,Supply Chain Management,product delivery,product delivery
pull production,concept,Supply Chain Management,lean logistics,pull production
relational integration,concept,Supply Chain Management,supply chain integration,relational integration
reverse logistics,concept,Supply Chain Management,supply chain operations,reverse logistics
site access management,phenomenon_process,Supply Chain Management,logistics planning,site access management
sociomaterial practice,theoretical_framing,Supply Chain Management,collaborative supply chain,sociomaterial practice
sourcing model,concept,Supply Chain Management,sourcing strategies,sourcing model
spares,phenomenon_object,Supply Chain Management,inventory management,spares
strategic sourcing,phenomenon_process,Supply Chain Management,sourcing strategies,strategic sourcing
strategic sourcing framework,concept,Supply Chain Management,supply chain optimization,strategic sourcing framework
subcontracting,phenomenon_process,Supply Chain Management,organization,subcontracting
sub-contracting,phenomenon_process,Supply Chain Management,organization,sub-contracting
subcontracting system,phenomenon_object,Supply Chain Management,organization,subcontracting system
subcontractor selection,phenomenon_process,Supply Chain Management,organization,subcontractor selection
supplier evaluation,phenomenon_process,Supply Chain Management,performance management,supplier evaluation
supplier management,phenomenon_process,Supply Chain Management,supplier oversight,supplier management
supplier risk assessment,phenomenon_process,Supply Chain Management,supply chain risk,supplier risk assessment
supply chain analysis,analytical_technique,Supply Chain Management,supply chain analysis,supply chain analysis
supply chain integration,phenomenon_process,Supply Chain Management,supply chain integration,supply chain integration
supply chain maturity,phenomenon_process,Supply Chain Management,supply chain development,supply chain maturity
supply chain optimization,phenomenon_process,Supply Chain Management,supply chain optimization,supply chain optimization
supply chain partnership,concept,Supply Chain Management,supply chain partnership,supply chain partnership
supply chain performance,analytical_technique,Supply Chain Management,supply chain performance,supply chain performance
supply chain planning,phenomenon_process,Supply Chain Management,supply chain planning,supply chain planning
supply chain process,phenomenon_process,Supply Chain Management,supply chain performance,supply chain process
supply chain resilience,concept,Supply Chain Management,supply chain resilience,supply chain resilience
supply chain risk management,phenomenon_process,Supply Chain Management,supply chain risk,supply chain risk management
supply chain security,concept,Supply Chain Management,supply chain risk,supply chain security
supply chain transparency,concept,Supply Chain Management,sustainable supply chain,supply chain transparency
supply chain visibility,concept,Supply Chain Management,supplier oversight,supply chain visibility
supply-side competence,concept,Supply Chain Management,supplier oversight,supply-side competence
sustainable sourcing,concept,Supply Chain Management,sustainable supply chain,sustainable sourcing
third-party logistic,phenomenon_process,Supply Chain Management,supplier oversight,third-party logistic
traceability,concept,Supply Chain Management,supplier oversight,traceability
transport management,phenomenon_process,Supply Chain Management,transport systems,transport management
transport planning,phenomenon_process,Supply Chain Management,logistics planning,transport planning
truck dispatching,phenomenon_process,Supply Chain Management,transport systems,truck dispatching
value chain,concept,Supply Chain Management,value chain strategy,value chain
vertical integration,concept,Supply Chain Management,vertical integration,vertical integration
warehouse management,phenomenon_process,Supply Chain Management,inventory management,warehouse management
accident investigation,phenomenon_process,Sustainability,environmental health,accident investigation
accident prevention,phenomenon_process,Sustainability,environmental health,accident prevention
adaptive capacity,concept,Sustainability,urban design,adaptive capacity
adaptive infrastructure design,concept,Sustainability,climate science,adaptive infrastructure design
adaptive reuse in construction,concept,Sustainability,sustainable design,adaptive reuse in construction
agricultural entity,phenomenon_object,Sustainability,environmental resource management,agricultural entity
air conditioning,concept,Sustainability,environmental engineering,air conditioning
air flow,concept,Sustainability,environmental engineering,air flow
air gap,concept,Sustainability,environmental engineering,air gap
air movement,concept,Sustainability,environmental engineering,air movement
air pollution,concept,Sustainability,climate science,air pollution
air quality,concept,Sustainability,climate science,air quality
air source heat pump,phenomenon_object,Sustainability,energy systems,air source heat pump
air temperature,concept,Sustainability,environmental engineering,air temperature
air tightness,concept,Sustainability,environmental engineering,air tightness
airflow pattern,concept,Sustainability,environmental engineering,airflow pattern
airflow rate,concept,Sustainability,environmental engineering,airflow rate
alternative energy,concept,Sustainability,energy systems,alternative energy
ambient temperature,concept,Sustainability,environmental engineering,ambient temperature
anthropocene,concept,Sustainability,environmental science,anthropocene
appropriate technology,concept,Sustainability,technological development,appropriate technology
atmospheric water,concept,Sustainability,climate science,atmospheric water
autonomous evacuation,phenomenon_process,Sustainability,social theory and frameworks,autonomous evacuation
bioclimatology,concept,Sustainability,environmental science,bioclimatology
biocultural diversity,concept,Sustainability,biodiversity,biocultural diversity
biodegradation,concept,Sustainability,materials science,biodegradation
biodiversity,concept,Sustainability,biodiversity,biodiversity
biogas,phenomenon_object,Sustainability,energy systems,biogas
biogenic decay,concept,Sustainability,environmental science,biogenic decay
biosensing,phenomenon_process,Sustainability,environmental science,biosensing
bio-waste,concept,Sustainability,waste management,bio-waste
borehole,phenomenon_object,Sustainability,water management,borehole
BREEAM accreditation,concept,Sustainability,environmental policy,BREEAM
building energy consumption,phenomenon_object,Sustainability,sustainability and energy,building energy consumption
building energy management system,concept,Sustainability,energy systems,building energy management system
building energy performance certificate,concept,Sustainability,energy systems,building energy performance certificate
building energy use,phenomenon_object,Sustainability,sustainability and energy,building energy use
building environmental assessment,concept,Sustainability,sustainability assessment,building environmental assessment
building sustainability,concept,Sustainability,sustainability and energy,building sustainability
bushfire,phenomenon_object,Sustainability,environmental hazards,bushfire
calculative trust,concept,Sustainability,environmental hazards,calculative trust
Canadian well,phenomenon_object,Sustainability,renewable energy,Canadian well
carbon dioxide,phenomenon_object,Sustainability,climate science,carbon dioxide
carbon dioxide emission,concept,Sustainability,climate science,carbon dioxide emission
carbon emission,concept,Sustainability,climate science,carbon emission
carbon footprint,concept,Sustainability,environmental impact,carbon footprint
carbon footprint reduction,concept,Sustainability,sustainable design,carbon footprint reduction
carbon hotspot,concept,Sustainability,climate science,carbon hotspot
carbon mapping,concept,Sustainability,environmental science,carbon mapping
carbon reduction,concept,Sustainability,climate science,carbon reduction
carbon-neutral construction,concept,Sustainability,sustainable development,carbon-neutral construction
carbon-neutral urban development,concept,Sustainability,sustainable development,carbon-neutral urban development
certified sustainable supplier,concept,Sustainability,sustainable practices,certified sustainable supplier
chemical air contaminant,concept,Sustainability,environmental health,chemical air contaminant
circular design strategy,concept,Sustainability,sustainable design,circular design strategy
circular economy,concept,Sustainability,sustainable design,circular economy
circular economy practices,concept,Sustainability,sustainable design,circular economy practices
circular materials management,concept,Sustainability,sustainable design,circular materials management
circular waste system,concept,Sustainability,waste management,circular waste system
circularity,concept,Sustainability,sustainable materials,circularity
clean energy,concept,Sustainability,energy systems,clean energy
clean technology,concept,Sustainability,sustainable design,clean technology
climate adaptation,concept,Sustainability,climate science,climate adaptation
climate adaptation planning,concept,Sustainability,climate science,climate adaptation planning
climate change,concept,Sustainability,climate science,climate change
climate control,phenomenon_process,Sustainability,environmental engineering,climate control
climate disaster resilience,concept,Sustainability,environmental hazards,climate disaster resilience
climate impact mitigation,concept,Sustainability,climate science,climate impact mitigation
climate justice,concept,Sustainability,social equity,climate justice
climate policy,concept,Sustainability,climate policy,climate policy
climate resilience,concept,Sustainability,climate science,climate resilience
climate resilient infrastructure,concept,Sustainability,climate science,climate resilient infrastructure
climate risk,concept,Sustainability,environmental hazards,climate risk
climate risk assessment,concept,Sustainability,environmental hazards,climate risk assessment
climate science,theoretical framing,Sustainability,climate science,climate science
climatic condition,concept,Sustainability,climate science,climatic condition
climatic heat stress,concept,Sustainability,environmental health,climatic heat stress
climatic map,phenomenon_object,Sustainability,climate science,climatic map
climatological condition,concept,Sustainability,environmental science,climatological condition
climatology,theoretical_framing,Sustainability,environmental science,climatology
closed-loop construction system,concept,Sustainability,sustainable design,closed-loop construction system
closed-loop cycle construction,concept,Sustainability,sustainable design,closed-loop cycle construction
closed-loop system,concept,Sustainability,sustainable design,closed-loop system
CO2 emissions,phenomenon_object,Sustainability,air quality,CO2 emissions
CO2 equivalence,concept,Sustainability,climate science,CO2 equivalence
CO2 reduction,concept,Sustainability,climate science,CO2 reduction
coastal engineering,concept,Sustainability,environmental engineering,coastal engineering
coastal erosion,phenomenon_process,Sustainability,environmental impact,coastal erosion
co-heating,concept,Sustainability,sustainability and energy,co-heating
cold climate,concept,Sustainability,climate science,cold climate
cold weather,concept,Sustainability,environmental science,cold weather
cold-acclimation,analytical_technique,Sustainability,environmental health,cold-acclimation
commercial energy,concept,Sustainability,energy systems,commercial energy
community engagement strategy,concept,Sustainability,social equity,community engagement strategy
community resilience,concept,Sustainability,social equity,community resilience
community-driven development,concept,Sustainability,social equity,community-driven development
community-scale renewable energy,concept,Sustainability,energy systems,community-scale renewable energy
conservation,concept,Sustainability,environmental policy,conservation
construction and demolition,phenomenon_process,Sustainability,waste management,construction and demolition
construction demolition waste,concept,Sustainability,waste management,construction demolition waste
construction dust emission,concept,Sustainability,environmental impact,construction dust emission
construction industry waste,concept,Sustainability,waste management,construction industry waste
construction noise,concept,Sustainability,environmental impact,construction noise
construction safety,concept,Sustainability,environmental health,construction safety
construction safety and health,concept,Sustainability,environmental health,construction safety and health
construction waste,concept,Sustainability,waste management,construction waste
construction waste auditing,phenomenon_process,Sustainability,waste management,construction waste auditing
construction waste recycling,concept,Sustainability,waste management,construction waste recycling
construction waste reduction,concept,Sustainability,waste management,construction waste reduction
construction waste reduction program,concept,Sustainability,waste management,construction waste reduction program
construction waste-to-energy conversion,phenomenon_process,Sustainability,waste management,construction waste-to-energy conversion
contaminated land,concept,Sustainability,environmental issues,contaminated land
contaminated land regime,concept,Sustainability,environmental policy,contaminated land regime
contamination,concept,Sustainability,environmental health,contamination
crop,phenomenon_object,Sustainability,land management,crop
crude oil,phenomenon_object,Sustainability,environmental resource management,crude oil
culture of safety,concept,Sustainability,environmental health,culture of safety
cyclone,phenomenon_object,Sustainability,climate science,cyclone
dairy farm,phenomenon_object,Sustainability,land management,dairy farm
dairy farming,phenomenon_process,Sustainability,land management,dairy farming
decarbonization strategy,concept,Sustainability,climate science,decarbonization strategy
decentralized energy,concept,Sustainability,energy systems,decentralized energy
deconstruction practice ,phenomenon_process,Sustainability,waste management,deconstruction practice 
deforestation,concept,Sustainability,environmental impact,deforestation
degree days,concept,Sustainability,environmental science,degree days
demand response,concept,Sustainability,energy systems,demand response
demand-side energy management,concept,Sustainability,energy systems,demand-side energy management
demolition waste,concept,Sustainability,waste management,demolition waste
depletion,concept,Sustainability,environmental resource management,depletion
desalination,phenomenon_process,Sustainability,water management,desalination
design for disassembly,concept,Sustainability,sustainability and energy,design for disassembly
design for material recovery,concept,Sustainability,sustainable design,design for material recovery
design for material reuse,concept,Sustainability,sustainable design,design for material reuse
diesel fuel,phenomenon_object,Sustainability,energy systems,diesel fuel
diesel generator,phenomenon_object,Sustainability,energy systems,diesel generator
disaster management planning,phenomenon_process,Sustainability,environmental hazards,disaster management planning
disaster mitigation,phenomenon_process,Sustainability,environmental hazards,disaster mitigation
disaster mitigation strategies,concept,Sustainability,environmental hazards,disaster mitigation strategies
disaster planning,phenomenon_process,Sustainability,environmental hazards,disaster planning
disaster preparedness,phenomenon_process,Sustainability,safety engineering,disaster preparedness
disaster recovery,phenomenon_process,Sustainability,emergency and crisis management,disaster recovery
disaster recovery planning,phenomenon_process,Sustainability,environmental hazards,disaster recovery planning
disaster relief,phenomenon_process,Sustainability,emergency and crisis management,disaster relief
disaster resilience,concept,Sustainability,climate science,disaster resilience
disaster resiliency,concept,Sustainability,climate science,disaster resiliency
disaster response,phenomenon_process,Sustainability,emergency and crisis management,disaster response
disaster restoration,concept,Sustainability,environmental hazards,disaster restoration
disaster risk reduction,phenomenon_process,Sustainability,environmental hazards,disaster risk reduction
disaster waste,concept,Sustainability,waste management,disaster waste
display energy certificate,concept,Sustainability,sustainability and energy,display energy certificate
distributed generation,phenomenon_process,Sustainability,energy systems,distributed generation
domestic energy efficiency,concept,Sustainability,energy systems,domestic energy efficiency
dominant condition,concept,Sustainability,environmental science,dominant condition
dredging,phenomenon_process,Sustainability,water management,dredging
driftwood,concept,Sustainability,sustainable materials,driftwood
driving rain,concept,Sustainability,environmental science,driving rain
drought,concept,Sustainability,environmental hazards,drought
dust control,phenomenon_process,Sustainability,environmental engineering,dust control
earthen material,phenomenon_object,Sustainability,sustainability and energy,earthen material
earthquake,phenomenon_process,Sustainability,environmental hazards,earthquake
eco asset,concept,Sustainability,environmental resource management,eco asset
eco asset knowledge management,concept,Sustainability,knowledge management,eco asset knowledge management
eco asset management,concept,Sustainability,environmental resource management,eco asset management
ecodriving,concept,Sustainability,energy systems,ecodriving
eco-efficiency,concept,Sustainability,sustainability assessment,eco-efficiency
eco-friendly construction technique,concept,Sustainability,sustainability and energy,eco-friendly construction technique
eco-friendly infrastructure,concept,Sustainability,sustainable design,eco-friendly infrastructure
eco-friendly material,concept,Sustainability,sustainability and energy,eco-friendly material
eco-label,concept,Sustainability,sustainability assessment,eco-label
ecological assessment,phenomenon_process,Sustainability,environmental impact,ecological assessment
ecological design,concept,Sustainability,sustainability and energy,ecological design
ecological design strategy,concept,Sustainability,sustainable design,ecological design strategy
ecological footprint,concept,Sustainability,environmental impact,ecological footprint
ecological monitoring,phenomenon_process,Sustainability,environmental science,ecological monitoring
ecological wisdom,concept,Sustainability,environmental behaviour,ecological wisdom
ecologically sustainable development,concept,Sustainability,sustainable design,ecologically sustainable development
ecology,theoretical_framing,Sustainability,environmental science,ecology
ecomimetics,concept,Sustainability,sustainable design,ecomimetics
economic development,concept,Sustainability,economic development,economic development
economic growth,concept,Sustainability,economic development,economic growth
eco-positive retrofitting,phenomenon_process,Sustainability,sustainable design,eco-positive retrofitting
ecosystem impact assessment,concept,Sustainability,biodiversity,ecosystem impact assessment
ecosystem restoration,concept,Sustainability,land management,ecosystem restoration
ecosystem services,concept,Sustainability,biodiversity,ecosystem services
ecosystem-based management,concept,Sustainability,biodiversity,ecosystem-based management
effective waste management,concept,Sustainability,waste management,effective waste management
electric power,concept,Sustainability,energy systems,electric power
electric power demand,concept,Sustainability,energy systems,electric power demand
electric power distribution,phenomenon_process,Sustainability,energy systems,electric power distribution
electric power generation,phenomenon_process,Sustainability,energy systems,electric power generation
electric power system,phenomenon_object,Sustainability,energy systems,electric power system
electric utility,concept,Sustainability,energy systems,electric utility
electric vehicle charging infrastructure,concept,Sustainability,urban sustainability,electric vehicle charging infrastructure
electricity consumption,phenomenon_process,Sustainability,energy systems,electricity consumption
electricity demand,concept,Sustainability,energy systems,electricity demand
electricity distribution,phenomenon_process,Sustainability,energy systems,electricity distribution
electricity generation,phenomenon_process,Sustainability,energy systems,electricity generation
electricity meter,phenomenon_object,Sustainability,energy systems,electricity meter
electricity saving,concept,Sustainability,energy systems,electricity saving
embodied carbon,concept,Sustainability,environmental impact,embodied carbon
embodied carbon estimating,phenomenon_process,Sustainability,environmental impact,embodied carbon estimating
embodied carbon management,concept,Sustainability,sustainable design,embodied carbon management
embodied CO2 transfer,concept,Sustainability,environmental science,embodied co2 transfer
embodied emission,concept,Sustainability,environmental impact,embodied emission
embodied energy,concept,Sustainability,energy systems,embodied energy
emission analysis,analytical_technique,Sustainability,environmental impact,emission analysis
emission reduction program,concept,Sustainability,climate science,emission reduction program
emission standard,concept,Sustainability,sustainable engineering,emission standard
emissions control,phenomenon_process,Sustainability,environmental engineering,emissions control
end-of-life arizings,concept,Sustainability,waste management,end-of-life arizings
energy access,concept,Sustainability,energy systems,energy access
energy arbitraging,phenomenon_process,Sustainability,energy systems,energy arbitraging
energy audit,phenomenon_object,Sustainability,energy systems,energy audit
energy benchmarking,phenomenon_process,Sustainability,sustainability and energy,energy benchmarking
energy conservation,concept,Sustainability,energy systems,energy conservation
energy consumption,phenomenon_process,Sustainability,energy systems,energy consumption
energy contract,phenomenon_object,Sustainability,contract management and administration,energy contract
energy conversion efficiency,concept,Sustainability,energy systems,energy conversion efficiency
energy cost,concept,Sustainability,cost management,energy cost
energy demand,concept,Sustainability,energy systems,energy demand
energy dissipation,concept,Sustainability,thermal systems,energy dissipation
energy distribution,phenomenon_process,Sustainability,energy systems,energy distribution
energy efficiency,concept,Sustainability,sustainability and energy,energy efficiency
energy efficiency audit,phenomenon_process,Sustainability,environmental resource management,energy efficiency audit
energy efficiency elasticity,concept,Sustainability,energy systems,energy efficiency elasticity
energy efficiency gap,concept,Sustainability,energy systems,energy efficiency gap
energy efficiency investment measure,concept,Sustainability,investment strategies,energy efficiency investment measure
energy efficiency measure,concept,Sustainability,energy systems,energy efficiency measure
energy epidemiology,empirical_technique,Sustainability,data collection methods,energy epidemiology
energy feedback,concept,Sustainability,energy systems,energy feedback
energy gap,concept,Sustainability,energy systems,energy gap
energy intake,concept,Sustainability,energy systems,energy intake
energy labels,phenomenon_object,Sustainability,energy systems,energy labels
energy literacy,concept,Sustainability,energy systems,energy literacy
energy management,phenomenon_process,Sustainability,sustainability and energy,energy management
energy management system,concept,Sustainability,energy systems,energy management system
energy measurement,concept,Sustainability,energy systems,energy measurement
energy mix,concept,Sustainability,energy systems,energy mix
energy model,concept,Sustainability,energy systems,energy model
energy modelling,phenomenon_process,Sustainability,sustainability and energy,energy modelling
energy modelling institutional logic,theoretical_framing,Sustainability,environmental science,energy modelling institutional logic
energy monitoring,phenomenon_process,Sustainability,sustainability and energy,energy monitoring
energy performance,concept,Sustainability,energy systems,energy performance
energy performance certificate,phenomenon_object,Sustainability,energy systems,energy performance certificate
energy performance certification,concept,Sustainability,environmental policy,energy performance certification
energy performance gap,concept,Sustainability,sustainability and energy,energy performance gap
energy performance standard,concept,Sustainability,energy systems,energy performance standard
energy program,concept,Sustainability,energy systems,energy program
energy rating system,concept,Sustainability,energy systems,energy rating system
energy reduction,concept,Sustainability,energy systems,energy reduction
energy requirement,concept,Sustainability,energy systems,energy requirement
energy resource,concept,Sustainability,energy systems,energy resource
energy saving,concept,Sustainability,energy systems,energy saving
energy saving behaviour,phenomenon_process,Sustainability,environmental behaviour,energy saving behaviour
energy service company,concept,Sustainability,energy systems,energy service company
energy source,concept,Sustainability,energy systems,energy source
energy star,concept,Sustainability,energy systems,energy star
energy star certification,concept,Sustainability,sustainability assessment,energy star certification
energy storage,phenomenon_object,Sustainability,energy systems,energy storage
energy storage system,concept,Sustainability,energy systems,energy storage system
energy strategy,concept,Sustainability,energy systems,energy strategy
energy system,concept,Sustainability,energy systems,energy system
energy technology,concept,Sustainability,innovation and technology management,energy technology
energy use,concept,Sustainability,energy systems,energy use
energy/water crisis,concept,Sustainability,environmental resource management,energy/water crisis
energy-efficiency,concept,Sustainability,sustainability and energy,energy-efficiency
energy-efficient appliance,concept,Sustainability,energy systems,energy-efficient appliance
energy-efficient building,concept,Sustainability,sustainable design,energy-efficient building
energy-efficient building system,concept,Sustainability,sustainable design,energy-efficient building system
energy-efficient design,concept,Sustainability,sustainable design,energy-efficient design
energy-efficient HVAC system,concept,Sustainability,energy systems,energy-efficient HVAC system
energy-expenditure,concept,Sustainability,energy systems,energy-expenditure
energyplus,analytical_technique,Sustainability,environmental science,energyplus
energy-positive building,concept,Sustainability,sustainability and energy,energy-positive building
energy-saving,concept,Sustainability,energy systems,energy-saving
energy-use behaviour,phenomenon_process,Sustainability,health behaviours and lifestyles,energy-use behaviour
energy-use intensity,concept,Sustainability,energy systems,energy-use intensity
enhanced oil recovery,phenomenon_process,Sustainability,energy systems,enhanced oil recovery
enthalpy,concept,Sustainability,thermal systems,enthalpy
entropy,concept,Sustainability,thermal systems,entropy
environment model,concept,Sustainability,environmental science,environment model
environment protection,concept,Sustainability,environmental policy,environment protection
environmental analysis,phenomenon_process,Sustainability,environmental impact,environmental analysis
environmental assessment,phenomenon_process,Sustainability,environmental impact,environmental assessment
environmental audit,phenomenon_process,Sustainability,environmental policy,environmental audit
environmental awareness,concept,Sustainability,environmental behaviour,environmental awareness
environmental behaviour,concept,Sustainability,environmental behaviour,environmental behaviour
environmental belief,concept,Sustainability,environmental behaviour,environmental belief
environmental certification,phenomenon_process,Sustainability,sustainability assessment,environmental certification
environmental change,phenomenon_process,Sustainability,climate science,environmental change
environmental compliance audit,phenomenon_process,Sustainability,environmental policy,environmental compliance audit
environmental compliance tracking,phenomenon_process,Sustainability,environmental impact,environmental compliance tracking
environmental concern,concept,Sustainability,environmental issues,environmental concern
environmental conditions,concept,Sustainability,environmental science,environmental conditions
environmental control,phenomenon_process,Sustainability,environmental engineering,environmental control
environmental degradation,concept,Sustainability,environmental impact,environmental degradation
environmental disaster,concept,Sustainability,environmental hazards,environmental disaster
environmental discourse,phenomenon_process,Sustainability,environmental policy,environmental discourse
environmental education,concept,Sustainability,environmental behaviour,environmental education
environmental effect,concept,Sustainability,environmental impact,environmental effect
environmental engineering,theoretical_framing,Sustainability,environmental engineering,environmental engineering
environmental factor,concept,Sustainability,environmental science,environmental factor
environmental footprint analysis,phenomenon_process,Sustainability,sustainability assessment,environmental footprint analysis
environmental footprint reduction,phenomenon_process,Sustainability,sustainability assessment,environmental footprint reduction
environmental friendly product design,concept,Sustainability,sustainable design,environmental friendly product design
environmental governance,concept,Sustainability,environmental policy,environmental governance
environmental hazard,concept,Sustainability,environmental health,environmental hazard
environmental health,concept,Sustainability,environmental health,environmental health
environmental impact,concept,Sustainability,environmental impact,environmental impact
environmental impact analysis,phenomenon_process,Sustainability,environmental impact,environmental impact analysis
environmental impact assessment,phenomenon_process,Sustainability,environmental impact,environmental impact assessment
environmental issue,concept,Sustainability,environmental issues,environmental issue
environmental labelling,phenomenon_process,Sustainability,sustainability assessment,environmental labelling
environmental maintenance impact,concept,Sustainability,environmental impact,environmental maintenance impact
environmental management,phenomenon_process,Sustainability,sustainability assessment,environmental management
environmental management system,concept,Sustainability,control systems,environmental management system
environmental mitigation measure,phenomenon_process,Sustainability,environmental engineering,environmental mitigation measure
environmental monitoring,phenomenon_process,Sustainability,environmental impact,environmental monitoring
environmental perception,concept,Sustainability,environmental behaviour,environmental perception
environmental performance,phenomenon_process,Sustainability,sustainability assessment,environmental performance
environmental performance assessment,phenomenon_process,Sustainability,environmental impact,environmental performance assessment
