iterm,facet,domain,New Subject,lword
supplier evaluation,phenomenon_process,Management & Business,project management,supplier evaluation
traditional contracting,phenomenon_process,Management & Business,project management,traditional contracting
design-build-finance-operate,phenomenon_process,Management & Business,project management,design-build-finance-operate
delivery method,concept,Management & Business,project management,delivery method
project delivery method,concept,Management & Business,project management,project delivery method
site layout,concept,Management & Business,project management,site layout
construction development,phenomenon_process,Management & Business,project management,construction development
outlining,phenomenon_process,Management & Business,project management,outlining
interim certificate,phenomenon_object,Management & Business,project management,interim certificate
completion time,concept,Management & Business,project management,completion time
project engineering,phenomenon_process,Management & Business,project management,project engineering
multiple project environment,concept,Management & Business,project management,multiple project environment
life cycle estimation,concept,Management & Business,project management,life cycle estimation
plan evaluation,concept,Management & Business,project management,plan evaluation
post-occupancy evaluation,concept,Management & Business,project management,post-occupancy evaluation
project audit,phenomenon_process,Management & Business,project management,project audit
project evaluation,concept,Management & Business,project management,project evaluation
project impact assessment,phenomenon_process,Management & Business,project management,project impact assessment
site work,phenomenon_process,Management & Business,project management,site work
construction phasing,phenomenon_process,Management & Business,project management,construction phasing
construction work,phenomenon_object,Management & Business,project management,construction work
progress measurement,phenomenon_process,Management & Business,project management,progress measurement
project feasibility,concept,Management & Business,project management,project feasibility
framework development,concept,Management & Business,project management,framework development
project accountability structure,concept,Management & Business,project management,project accountability structure
project governance framework,concept,Management & Business,project management,project governance framework
project oversight,concept,Management & Business,project management,project oversight
project steering committee,concept,Management & Business,project management,project steering committee
commissioning,phenomenon_process,Management & Business,project management,commissioning
project closeout,phenomenon_process,Management & Business,project management,project closeout
formation of project identity,concept,Management & Business,project management,formation of project identity
implementation,concept,Management & Business,project management,implementation
briefing,phenomenon_process,Management & Business,project management,briefing
construction briefing,phenomenon_process,Management & Business,project management,construction briefing
project briefing,phenomenon_process,Management & Business,project management,project briefing
take-off,concept,Management & Business,project management,take-off
business case,concept,Management & Business,project management,business case
life cycle,concept,Management & Business,project management,life cycle
project lifecycle,concept,Management & Business,project management,project lifecycle
project constraint,concept,Management & Business,project management,project constraint
agile information flow,phenomenon_process,Management & Business,project management,agile information flow
building project,phenomenon_object,Management & Business,project management,building project
capital project,phenomenon_object,Management & Business,project management,capital project
check lists,concept,Management & Business,project management,check lists
construction project,phenomenon_object,Management & Business,project management,construction project
construction project management,phenomenon_process,Management & Business,project management,construction project management
critical chain project management,concept,Management & Business,project management,critical chain project management
delay analysis,concept,Management & Business,project management,delay analysis
development approach,concept,Management & Business,project management,development approach
engineering management,concept,Management & Business,project management,engineering management
engineering project network,concept,Management & Business,project management,engineering project network
excusable delay,phenomenon_object,Management & Business,project management,excusable delay
Kepala system,concept,Management & Business,project management,Kepala system
life cycle management,phenomenon_process,Management & Business,project management,life cycle management
line of balance,phenomenon_process,Management & Business,project management,line of balance
location-based management system,concept,Management & Business,project management,location-based management system
long-term monitoring,concept,Management & Business,project management,long-term monitoring
micro-scheduling,phenomenon_process,Management & Business,project management,micro-scheduling
monitoring,concept,Management & Business,project management,monitoring
needs analysis,phenomenon_object,Management & Business,project management,needs analysis
network scheduling,phenomenon_process,Management & Business,project management,network scheduling
percent plan complete,concept,Management & Business,project management,percent plan complete
planning management,phenomenon_process,Management & Business,project management,planning management
progress monitoring,concept,Management & Business,project management,progress monitoring
project control,concept,Management & Business,project management,project control
project controlling,phenomenon_process,Management & Business,project management,project controlling
project management,concept,Management & Business,project management,project management
project management practice,phenomenon_process,Management & Business,project management,project management practice
project management process,phenomenon_process,Management & Business,project management,project management process
project monitoring,concept,Management & Business,project management,project monitoring
repetitive project,phenomenon_process,Management & Business,project management,repetitive project
requirements-oriented project process,phenomenon_process,Management & Business,project management,requirements-oriented project process
rework,phenomenon_process,Management & Business,project management,rework
rollover,concept,Management & Business,project management,rollover
schedule analysis method,phenomenon_process,Management & Business,project management,schedule analysis method
schedule control,phenomenon_process,Management & Business,project management,schedule control
schedule delay,concept,Management & Business,project management,schedule delay
schedule growth,concept,Management & Business,project management,schedule growth
schedule logic,concept,Management & Business,project management,schedule logic
schedule overrun,concept,Management & Business,project management,schedule overrun
schedule planning,phenomenon_process,Management & Business,project management,schedule planning
scope change,concept,Management & Business,project management,scope change
s-curve,phenomenon_object,Management & Business,project management,s-curve
service project,concept,Management & Business,project management,service project
site congestion,concept,Management & Business,project management,site congestion
small project,phenomenon_object,Management & Business,project management,small project
target value design,concept,Management & Business,project management,target value design
task scheduling,phenomenon_process,Management & Business,project management,task scheduling
temporary organization,concept,Management & Business,project management,temporary organization
time cost risk trade-off,concept,Management & Business,project management,time cost risk trade-off
time-cost model,concept,Management & Business,project management,time-cost model
multiple outcomes,concept,Management & Business,project management,multiple outcomes
performance outcome,concept,Management & Business,project management,performance outcome
project outcome,concept,Management & Business,project management,project outcome
successor,concept,Management & Business,project management,successor
construction output,phenomenon_object,Management & Business,project management,construction output
output,concept,Management & Business,project management,output
strategic project management,concept,Management & Business,project management,strategic project management
project alliance,concept,Management & Business,project management,project alliance
performance areas,concept,Management & Business,project management,performance areas
performance elements,concept,Management & Business,project management,performance elements
project performance,concept,Management & Business,project management,project performance
schedule performance,concept,Management & Business,project management,schedule performance
infrastructure planning,phenomenon_process,Management & Business,project management,infrastructure planning
execution plan,concept,Management & Business,project management,execution plan
improvement project,concept,Management & Business,project management,improvement project
last planner system,phenomenon_process,Management & Business,project management,last planner system
look-ahead plan,concept,Management & Business,project management,look-ahead plan
management planning,phenomenon_process,Management & Business,project management,management planning
plan of work,concept,Management & Business,project management,plan of work
planning process,phenomenon_process,Management & Business,project management,planning process
precedence relationship,concept,Management & Business,project management,precedence relationship
project documentation,phenomenon_process,Management & Business,project management,project documentation
project planning,phenomenon_process,Management & Business,project management,project planning
time–cost trade-off,concept,Management & Business,project management,time–cost trade-off
proposal,concept,Management & Business,project management,proposal
turnaround management,concept,Management & Business,project management,turnaround management
project dashboard,concept,Management & Business,project management,project dashboard
status report,phenomenon_object,Management & Business,project management,status report
risk mitigation planning,concept,Management & Business,project management,risk mitigation planning
project failure,concept,Management & Business,project management,project failure
project risk factor,concept,Management & Business,project management,project risk factor
project uncertainty,concept,Management & Business,project management,project uncertainty
linear scheduling,phenomenon_object,Management & Business,project management,linear scheduling
time driver,concept,Management & Business,project management,time driver
project scope,concept,Management & Business,project management,project scope
project scope definition,concept,Management & Business,project management,project scope definition
scope baseline,concept,Management & Business,project management,scope baseline
scope creep,concept,Management & Business,project management,scope creep
project selection,phenomenon_object,Management & Business,project management,project selection
project strategy,concept,Management & Business,project management,project strategy
project organization,concept,Management & Business,project management,project organization
critical success factor,concept,Management & Business,project management,critical success factor
project success,concept,Management & Business,project management,project success
project success factor,concept,Management & Business,project management,project success factor
construction project supervision,phenomenon_process,Management & Business,project management,construction project supervision
site meeting coordination,phenomenon_process,Management & Business,project management,site meeting coordination
collaborative project,concept,Management & Business,project management,collaborative project
project termination reason,concept,Management & Business,project management,project termination reason
lead time,concept,Management & Business,project management,lead time
earned value management,phenomenon_object,Management & Business,project management,earned value management
life cycle value,concept,Management & Business,project management,life cycle value
project scheduling,phenomenon_process,Management & Business,project management,project scheduling
look-ahead scheduling,phenomenon_process,Management & Business,project management,look-ahead scheduling
schedule monitoring,phenomenon_process,Management & Business,project management,schedule monitoring
time performance,concept,Management & Business,project management,time performance
time prediction,phenomenon_process,Management & Business,project management,time prediction
time delay,concept,Management & Business,project management,time delay
construction scheduling,phenomenon_process,Management & Business,project management,construction scheduling
critical path method,concept,Management & Business,project management,critical path method
deconstruction scheduling,phenomenon_process,Management & Business,project management,deconstruction scheduling
delivery scheduling,phenomenon_process,Management & Business,project management,delivery scheduling
fast-tracking,phenomenon_process,Management & Business,project management,fast-tracking
repetitive scheduling,phenomenon_process,Management & Business,project management,repetitive scheduling
critical path network,concept,Management & Business,project management,critical path network
time resolution,concept,Management & Business,project management,time resolution
activity sequence,phenomenon_process,Management & Business,project management,activity sequence
crashing,concept,Management & Business,project management,crashing
critical path,concept,Management & Business,project management,critical path
critical path analysis,concept,Management & Business,project management,critical path analysis
linear scheduling method,phenomenon_process,Management & Business,project management,linear scheduling method
milestone tracking,phenomenon_process,Management & Business,project management,milestone tracking
program evaluation and review technique,phenomenon_process,Management & Business,project management,program evaluation and review technique
time buffer,phenomenon_object,Management & Business,project management,time buffer
scope baseline development,phenomenon_process,Management & Business,project management,scope baseline development
scope control,phenomenon_process,Management & Business,project management,scope control
scope validation,concept,Management & Business,project management,scope validation
scope verification,concept,Management & Business,project management,scope verification
sub-task requirement,concept,Management & Business,project management,sub-task requirement
real time,concept,Management & Business,project management,real time
spatio-temporal constraint,concept,Management & Business,project management,spatio-temporal constraint
acceleration,concept,Management & Business,project management,acceleration
programme,concept,Management & Business,project management,programme
progress scheduling,phenomenon_process,Management & Business,project management,progress scheduling
time estimation,phenomenon_process,Management & Business,project management,time estimation
construction duration model,concept,Management & Business,project management,construction duration model
chronology,concept,Management & Business,project management,chronology
construction time,concept,Management & Business,project management,construction time
delivery time,concept,Management & Business,project management,delivery time
duration,concept,Management & Business,project management,duration
schedule acceleration,concept,Management & Business,project management,schedule acceleration
schedule compression,concept,Management & Business,project management,schedule compression
schedule reliability,concept,Management & Business,project management,schedule reliability
time tracking,concept,Management & Business,project management,time tracking
temporal variation,concept,Management & Business,project management,temporal variation
slack,concept,Management & Business,project management,slack
turnaround project,phenomenon_process,Management & Business,project recovery,turnaround project
recovery,concept,Management & Business,project recovery,recovery
quality of service,concept,Management & Business,public and environmental health,quality of service
building performance,concept,Management & Business,quality and performance management,building performance
global benchmark technology,concept,Management & Business,quality and performance management,global benchmark technology
good practice,concept,Management & Business,quality and performance management,good practice
standard methods and procedure,concept,Management & Business,quality and performance management,standard methods and procedure
construction business performance,concept,Management & Business,quality and performance management,construction business performance
innovative company,concept,Management & Business,quality and performance management,innovative company
business improvement,phenomenon_process,Management & Business,quality and performance management,business improvement
architectural quality,concept,Management & Business,quality and performance management,architectural quality
audit,phenomenon_process,Management & Business,quality and performance management,audit
outcome control,phenomenon_process,Management & Business,quality and performance management,outcome control
quality control,phenomenon_process,Management & Business,quality and performance management,quality control
control method,phenomenon_process,Management & Business,quality and performance management,control method
performance error,concept,Management & Business,quality and performance management,performance error
continuous improvement,phenomenon_process,Management & Business,quality and performance management,continuous improvement
upgrade decision-making,phenomenon_process,Management & Business,quality and performance management,upgrade decision-making
upgrading,phenomenon_process,Management & Business,quality and performance management,upgrading
process performance,concept,Management & Business,quality and performance management,process performance
innovation performance,concept,Management & Business,quality and performance management,innovation performance
management effectiveness,concept,Management & Business,quality and performance management,management effectiveness
organizational performance,concept,Management & Business,quality and performance management,organizational performance
collaborative performance assessment,phenomenon_process,Management & Business,quality and performance management,collaborative performance assessment
effectiveness,concept,Management & Business,quality and performance management,effectiveness
ex-post performance,concept,Management & Business,quality and performance management,ex-post performance
benchmarking,phenomenon_process,Management & Business,quality and performance management,benchmarking
benchmark performance,phenomenon_process,Management & Business,quality and performance management,benchmark performance
business metric,concept,Management & Business,quality and performance management,business metric
business performance,concept,Management & Business,quality and performance management,business performance
corporate performance,concept,Management & Business,quality and performance management,corporate performance
performance prism,concept,Management & Business,quality and performance management,performance prism
balanced scorecard,analytical_technique,Management & Business,quality and performance management,balanced scorecard
performance based,concept,Management & Business,quality and performance management,performance based
performance criteria,concept,Management & Business,quality and performance management,performance criteria
performance evaluation,concept,Management & Business,quality and performance management,performance evaluation
performance management,concept,Management & Business,quality and performance management,performance management
performance management framework,concept,Management & Business,quality and performance management,performance management framework
scorecard,concept,Management & Business,quality and performance management,scorecard
efficiency,concept,Management & Business,quality and performance management,efficiency
building performance standard,phenomenon_object,Management & Business,quality and performance management,building performance standard
kaizen event,concept,Management & Business,quality and performance management,kaizen event
parallel repetitive process,phenomenon_process,Management & Business,quality and performance management,parallel repetitive process
performance improvement,phenomenon_process,Management & Business,quality and performance management,performance improvement
quality improvement,phenomenon_process,Management & Business,quality and performance management,quality improvement
six sigma,concept,Management & Business,quality and performance management,six sigma
warranty,concept,Management & Business,quality and performance management,warranty
good product attribute,concept,Management & Business,quality and performance management,good product attribute
service quality questionnaire,concept,Management & Business,quality and performance management,service quality questionnaire
performance-based specification,concept,Management & Business,quality and performance management,performance-based specification
evidence-based improvement,concept,Management & Business,quality and performance management,evidence-based improvement
quality circle,phenomenon_process,Management & Business,quality and performance management,quality circle
quality management system,phenomenon_process,Management & Business,quality and performance management,quality management system
level of service,concept,Management & Business,quality and performance management,level of service
standardization,phenomenon_process,Management & Business,quality and performance management,standardization
level of use,concept,Management & Business,quality and performance management,level of use
team collaboration,concept,Management & Business,quality of life and wellbeing,team collaboration
driving factor,concept,Management & Business,quality of life and wellbeing,driving factor
solution,concept,Management & Business,quality of life and wellbeing,solution
service-led relationship,concept,Management & Business,quality of life and wellbeing,service-led relationship
stakeholder management,phenomenon_process,Management & Business,quality of life and wellbeing,stakeholder management
shared value,concept,Management & Business,quality of life and wellbeing,shared value
stakeholder value,concept,Management & Business,quality of life and wellbeing,stakeholder value
land transaction,phenomenon_process,Management & Business,real estate economics,land transaction
corporate real estate,phenomenon_object,Management & Business,real estate economics,corporate real estate
usage,concept,Management & Business,resource management,usage
equipment management,phenomenon_process,Management & Business,resource management,equipment management
manpower allocation,phenomenon_process,Management & Business,resource management,manpower allocation
material procurement,phenomenon_process,Management & Business,resource management,material procurement
resource allocation,phenomenon_process,Management & Business,resource management,resource allocation
resource flow,phenomenon_process,Management & Business,resource management,resource flow
resource levelling,phenomenon_process,Management & Business,resource management,resource levelling
resource levelling technique,phenomenon_process,Management & Business,resource management,resource levelling technique
resource planning,phenomenon_process,Management & Business,resource management,resource planning
resource scheduling,phenomenon_process,Management & Business,resource management,resource scheduling
resource tracking,phenomenon_process,Management & Business,resource management,resource tracking
resource utilization,phenomenon_process,Management & Business,resource management,resource utilization
resource-based view,theoretical_framing,Management & Business,resource management,resource-based view
workforce planning,phenomenon_process,Management & Business,resource management,workforce planning
company failure,concept,Management & Business,risk and decision analysis,company failure
construction insolvency,concept,Management & Business,risk and decision analysis,construction insolvency
wicked design,concept,Management & Business,risk and decision analysis,wicked design
wicked problem,concept,Management & Business,risk and decision analysis,wicked problem
wicked issue,concept,Management & Business,risk and decision analysis,wicked issue
key attribute,concept,Management & Business,risk and decision analysis,key attribute
key factor,concept,Management & Business,risk and decision analysis,key factor
multi-attribute analysis,phenomenon_process,Management & Business,risk and decision analysis,multi-attribute analysis
decision-making style,concept,Management & Business,risk and decision analysis,decision-making style
critical factor,concept,Management & Business,risk and decision analysis,critical factor
decision criteria,concept,Management & Business,risk and decision analysis,decision criteria
determinant,concept,Management & Business,risk and decision analysis,determinant
influencing factor,concept,Management & Business,risk and decision analysis,influencing factor
tradeoff,concept,Management & Business,risk and decision analysis,tradeoff
decision making formula,concept,Management & Business,risk and decision analysis,decision making formula
decision making matrix,phenomenon_process,Management & Business,risk and decision analysis,decision making matrix
decision support,phenomenon_process,Management & Business,risk and decision analysis,decision support
decision support factor,concept,Management & Business,risk and decision analysis,decision support factor
decision support framework,concept,Management & Business,risk and decision analysis,decision support framework
decision theory,theoretical_framing,Management & Business,risk and decision analysis,decision theory
heuristic,concept,Management & Business,risk and decision analysis,heuristic
multiple criteria decision method,phenomenon_process,Management & Business,risk and decision analysis,multiple criteria decision method
decision support system,phenomenon_object,Management & Business,risk and decision analysis,decision support system
multiple criterion,concept,Management & Business,risk and decision analysis,multiple criterion
oreste,phenomenon_process,Management & Business,risk and decision analysis,oreste
selection method,phenomenon_process,Management & Business,risk and decision analysis,selection method
value-based decision,phenomenon_process,Management & Business,risk and decision analysis,value-based decision
relative importance,concept,Management & Business,risk and decision analysis,relative importance
relative importance index,concept,Management & Business,risk and decision analysis,relative importance index
multiattribute weighting,phenomenon_process,Management & Business,risk and decision analysis,multiattribute weighting
multicriteria analysis,phenomenon_process,Management & Business,risk and decision analysis,multicriteria analysis
multi-criteria decision analysis,phenomenon_process,Management & Business,risk and decision analysis,multi-criteria decision analysis
multi-criteria decision-making,phenomenon_process,Management & Business,risk and decision analysis,multi-criteria decision-making
concept selection,phenomenon_process,Management & Business,risk and decision analysis,concept selection
decision analysis,phenomenon_process,Management & Business,risk and decision analysis,decision analysis
decision framework,theoretical_framing,Management & Business,risk and decision analysis,decision framework
decision making,phenomenon_process,Management & Business,risk and decision analysis,decision making
decision process,phenomenon_process,Management & Business,risk and decision analysis,decision process
decision tree,phenomenon_process,Management & Business,risk and decision analysis,decision tree
decision-making process,phenomenon_process,Management & Business,risk and decision analysis,decision-making process
expert judgement,concept,Management & Business,risk and decision analysis,expert judgement
group decision making,phenomenon_process,Management & Business,risk and decision analysis,group decision making
venture evaluation and review technique,phenomenon_process,Management & Business,risk and decision analysis,venture evaluation and review technique
selection criteria,concept,Management & Business,risk and decision analysis,selection criteria
project appraisal,phenomenon_process,Management & Business,risk and decision analysis,project appraisal
viability,concept,Management & Business,risk and decision analysis,viability
concept map,phenomenon_object,Management & Business,risk and decision analysis,concept map
concept mapping,analytical_technique,Management & Business,risk and decision analysis,concept mapping
unintended consequence,concept,Management & Business,risk and decision analysis,unintended consequence
factors affecting,concept,Management & Business,risk and decision analysis,factors affecting
influential factor,concept,Management & Business,risk and decision analysis,influential factor
critical issue,concept,Management & Business,risk and decision analysis,critical issue
significant factor,concept,Management & Business,risk and decision analysis,significant factor
incentivization,concept,Management & Business,risk and decision analysis,incentivization
multiattribute decision analysis,analytical_technique,Management & Business,risk and decision analysis,multiattribute decision analysis
performance prediction,concept,Management & Business,risk and decision analysis,performance prediction
readiness assessment,concept,Management & Business,risk and decision analysis,readiness assessment
readiness model,concept,Management & Business,risk and decision analysis,readiness model
anticipatory management,concept,Management & Business,risk and decision analysis,anticipatory management
root cause analysis,concept,Management & Business,risk and decision analysis,root cause analysis
resilience indicator,concept,Management & Business,risk and decision analysis,resilience indicator
fuzzy fault tree,concept,Management & Business,risk and decision analysis,fuzzy fault tree
risk impact analysis,phenomenon_process,Management & Business,risk and decision analysis,risk impact analysis
risk management,phenomenon_process,Management & Business,risk and decision analysis,risk management
risk probability analysis,phenomenon_process,Management & Business,risk and decision analysis,risk probability analysis
uncertainty management,phenomenon_process,Management & Business,risk and decision analysis,uncertainty management
contributory factor,phenomenon_object,Management & Business,risk and decision analysis,contributory factor
failure factor,concept,Management & Business,risk and decision analysis,failure factor
contingency action,phenomenon_process,Management & Business,risk and decision analysis,contingency action
emergency response planning,phenomenon_process,Management & Business,risk and decision analysis,emergency response planning
cause identification,concept,Management & Business,risk and decision analysis,cause identification
situation analysis,phenomenon_process,Management & Business,risk and decision analysis,situation analysis
enabler,concept,Management & Business,risk and decision analysis,enabler
strengths-weaknesses-opportunities-threats,concept,Management & Business,risk and decision analysis,strengths-weaknesses-opportunities-threats
critical systems theory,theoretical_framing,Management & Business,risk and decision analysis,critical systems theory
feasibility study,phenomenon_process,Management & Business,risk and decision analysis,feasibility study
service delivery,phenomenon_process,Management & Business,service delivery,service delivery
customer service,phenomenon_process,Management & Business,service delivery,customer service
facilities management services,concept,Management & Business,service delivery,facilities management services
facility services,concept,Management & Business,service delivery,facility services
concurrent construction,phenomenon_process,Management & Business,site and location studies,concurrent construction
scaffolding,phenomenon_process,Management & Business,site and location studies,scaffolding
engineering consultant,phenomenon_object,Management & Business,site and location studies,engineering consultant
engineering contractor,phenomenon_object,Management & Business,site and location studies,engineering contractor
engineering firm,phenomenon_object,Management & Business,site and location studies,engineering firm
site logistic,phenomenon_process,Management & Business,site and location studies,site logistic
site operation,phenomenon_process,Management & Business,site and location studies,site operation
site process,phenomenon_process,Management & Business,site and location studies,site process
temporary work,phenomenon_process,Management & Business,site and location studies,temporary work
co-location,phenomenon_process,Management & Business,site and location studies,co-location
confined site construction,phenomenon_process,Management & Business,site and location studies,confined site construction
construction site supervision,phenomenon_process,Management & Business,site and location studies,construction site supervision
materials management,phenomenon_process,Management & Business,site and location studies,materials management
site logistics planning,phenomenon_process,Management & Business,site and location studies,site logistics planning
site safety management,phenomenon_process,Management & Business,site and location studies,site safety management
site security,phenomenon_process,Management & Business,site and location studies,site security
traffic flow management,phenomenon_process,Management & Business,site and location studies,traffic flow management
traffic management,phenomenon_process,Management & Business,site and location studies,traffic management
site management,phenomenon_process,Management & Business,site management,site management
partial replacement of fine aggregate,concept,Management & Business,specialized materials and systems,partial replacement of fine aggregate
public engagement,phenomenon_process,Management & Business,stakeholder and communication management,public engagement
first-time client,phenomenon_process,Management & Business,stakeholder and communication management,first-time client
stakeholder integration,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder integration
rail strategic alliance,concept,Management & Business,stakeholder and communication management,rail strategic alliance
strategic alliance,concept,Management & Business,stakeholder and communication management,strategic alliance
synergy,concept,Management & Business,stakeholder and communication management,synergy
sharing arrangement,concept,Management & Business,stakeholder and communication management,sharing arrangement
consortium,phenomenon_object,Management & Business,stakeholder and communication management,consortium
government industry partnership,concept,Management & Business,stakeholder and communication management,government industry partnership
public-private interface,concept,Management & Business,stakeholder and communication management,public-private interface
regeneration partnership,concept,Management & Business,stakeholder and communication management,regeneration partnership
consortia,concept,Management & Business,stakeholder and communication management,consortia
supply chain partnership,concept,Management & Business,stakeholder and communication management,supply chain partnership
partnering,phenomenon_process,Management & Business,stakeholder and communication management,partnering
co-production,phenomenon_process,Management & Business,stakeholder and communication management,co-production
partnership,concept,Management & Business,stakeholder and communication management,partnership
virtual organization,phenomenon_object,Management & Business,stakeholder and communication management,virtual organization
collaborative practice,concept,Management & Business,stakeholder and communication management,collaborative practice
value co-creation,concept,Management & Business,stakeholder and communication management,value co-creation
public relation,concept,Management & Business,stakeholder and communication management,public relation
signalling benefit,concept,Management & Business,stakeholder and communication management,signalling benefit
stakeholder network,phenomenon_object,Management & Business,stakeholder and communication management,stakeholder network
conciliation,phenomenon_process,Management & Business,stakeholder and communication management,conciliation
resolution,phenomenon_process,Management & Business,stakeholder and communication management,resolution
voice of customer,concept,Management & Business,stakeholder and communication management,voice of customer
control procedure,phenomenon_process,Management & Business,stakeholder and communication management,control procedure
customer relationship management,phenomenon_process,Management & Business,stakeholder and communication management,customer relationship management
complaint,phenomenon_process,Management & Business,stakeholder and communication management,complaint
customer complaint,phenomenon_process,Management & Business,stakeholder and communication management,customer complaint
customer satisfaction,concept,Management & Business,stakeholder and communication management,customer satisfaction
social customer relationship management,phenomenon_process,Management & Business,stakeholder and communication management,social customer relationship management
key account management,phenomenon_process,Management & Business,stakeholder and communication management,key account management
value-based experience,concept,Management & Business,stakeholder and communication management,value-based experience
customer equity,concept,Management & Business,stakeholder and communication management,customer equity
adversarial behaviour,concept,Management & Business,stakeholder and communication management,adversarial behaviour
conciliator,phenomenon_role,Management & Business,stakeholder and communication management,conciliator
conflict management,phenomenon_process,Management & Business,stakeholder and communication management,conflict management
conflict resolution,phenomenon_process,Management & Business,stakeholder and communication management,conflict resolution
user participation,phenomenon_process,Management & Business,stakeholder and communication management,user participation
satisfaction rating,concept,Management & Business,stakeholder and communication management,satisfaction rating
stakeholder satisfaction,concept,Management & Business,stakeholder and communication management,stakeholder satisfaction
positive feedback,concept,Management & Business,stakeholder and communication management,positive feedback
stakeholder conflict,concept,Management & Business,stakeholder and communication management,stakeholder conflict
stakeholder management practice,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder management practice
multiple-domain matrix,analytical_technique,Management & Business,stakeholder and communication management,multiple-domain matrix
negotiating,phenomenon_process,Management & Business,stakeholder and communication management,negotiating
negotiation,phenomenon_process,Management & Business,stakeholder and communication management,negotiation
win-win negotiation,phenomenon_process,Management & Business,stakeholder and communication management,win-win negotiation
relational integration,concept,Management & Business,stakeholder and communication management,relational integration
value network,concept,Management & Business,stakeholder and communication management,value network
stakeholder involvement,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder involvement
access control,phenomenon_process,Management & Business,stakeholder and communication management,access control
access to premise,phenomenon_process,Management & Business,stakeholder and communication management,access to premise
accessibility,phenomenon_process,Management & Business,stakeholder and communication management,accessibility
clients’ charter,concept,Management & Business,stakeholder and communication management,clients’ charter
endorsement,phenomenon_object,Management & Business,stakeholder and communication management,endorsement
client characteristics,concept,Management & Business,stakeholder and communication management,client characteristics
client quality,concept,Management & Business,stakeholder and communication management,client quality
user group,phenomenon_object,Management & Business,stakeholder and communication management,user group
consulting participation,phenomenon_process,Management & Business,stakeholder and communication management,consulting participation
engagement,concept,Management & Business,stakeholder and communication management,engagement
involvement,concept,Management & Business,stakeholder and communication management,involvement
private sector participation,concept,Management & Business,stakeholder and communication management,private sector participation
participation,concept,Management & Business,stakeholder and communication management,participation
client organization,concept,Management & Business,stakeholder and communication management,client organization
stakeholder analysis,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder analysis
stakeholder engagement strategy,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder engagement strategy
stakeholder identification,phenomenon_process,Management & Business,stakeholder and communication management,stakeholder identification
client goal,concept,Management & Business,stakeholder and communication management,client goal
client involvement,concept,Management & Business,stakeholder and communication management,client involvement
business relationship,concept,Management & Business,stakeholder and communication management,business relationship
customer relation,concept,Management & Business,stakeholder and communication management,customer relation
client satisfaction,concept,Management & Business,stakeholder and communication management,client satisfaction
project participant satisfaction,concept,Management & Business,stakeholder and communication management,project participant satisfaction
partner selection,phenomenon_process,Management & Business,stakeholder and communication management,partner selection
client value,concept,Management & Business,stakeholder and communication management,client value
driver,concept,Management & Business,stakeholder and communication management,driver
capacity building,phenomenon_process,Management & Business,student development,capacity building
capacity development,phenomenon_process,Management & Business,student development,capacity development
desirable skill,concept,Management & Business,student development,desirable skill
container terminal,phenomenon_object,Management & Business,supply chain and logistics management,container terminal
equipment selection,concept,Management & Business,supply chain and logistics management,equipment selection
spares,phenomenon_object,Management & Business,supply chain and logistics management,spares
sociomaterial practice,theoretical_framing,Management & Business,supply chain and logistics management,sociomaterial practice
